user_id,apm,income,height,reaction_time,age,kappa_ability,weight,amount,gregariousness,account_verified,product_use,product_visit,churn,grade_ordinal,Bacon,Basil,Black olives,Chicken,Extra cheese,Garlic,Green peppers,Ham,Mushrooms,Oregano,Pepperoni,Pesto,Pineapple,Red peppers,Salami,Sausage,Spinach,Tomato,B-ville,C-borough,Butter Pecan,Cheesecake,Chocolate,Coffee,Cookies and Cream,Mint,Neapolitan,Orange Sherbert,Peach,Pistachio,Red Velvet,Rocky Road,Strawberry,Vanilla,Pause Associates,Stop Inc
78389,154.0,100.0,176.0,353.0,47,6291,149.0,10,48.0,0,23,91,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
79235,193.0,95.0,182.0,250.0,20,4765,155.238,19,62.0,7,35,44,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78816,180.0,97.0,177.0,311.0,67,4360,145.0,41,57.0,0,0,81,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
78961,168.0,99.0,184.0,320.0,48,3663,148.0,105,43.0,0,0,83,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
78427,207.0,105.0,190.382,329.0,35,149,146.0,53,58.0,0,28,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78412,140.0,104.0,190.382,276.0,30,755,164.0,54,39.0,0,11,23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
78676,174.0,111.0,175.0,348.0,33,785,152.0,83,44.0,0,0,60,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
78276,164.0,113.0,178.0,319.0,60,1715,162.0,16,52.0,3,0,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79253,201.0,104.0,182.0,336.0,38,482,153.0,34,50.0,2,0,53,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
79139,129.0,111.0,177.0,396.0,22,3653,157.0,44,45.0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78572,197.0,106.0,183.0,298.0,69,4872,144.0,46,40.0,0,0,24,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78945,175.0,107.0,181.0,319.0,24,325,155.0,39,52.0,1,35,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
79226,189.0,102.0,172.0,331.0,67,1370,145.0,46,51.0,0,22,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79073,229.0,102.0,176.0,298.0,34,4666,153.0,28,55.0,0,0,98,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79013,202.0,100.0,179.0,239.0,34,1384,144.0,29,33.0,5,25,78,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
78301,210.0,102.0,175.0,321.0,31,269,154.0,2,68.0,0,0,54,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
78746,163.0,120.0,181.0,349.0,41,1259,165.0,32,53.0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78385,204.0,98.0,173.0,356.0,37,4725,148.0,8,41.0,0,0,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
78723,173.0,101.0,181.0,336.0,21,450,150.0,2,65.0,5,13,16,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78806,170.0,114.0,170.0,343.0,54,8422,160.0,41,51.0,0,0,54,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78834,208.0,96.0,174.0,328.0,40,792,149.0,1,37.0,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78311,169.0,99.0,181.0,349.0,28,648,151.0,13,32.0,0,16,17,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78974,198.0,101.0,183.0,347.0,27,3339,151.0,10,48.0,0,0,78,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79065,213.0,97.0,180.0,341.0,32,135,144.0,50,48.0,3,0,63,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
78964,195.0,99.0,179.0,344.0,58,857,147.0,11,54.0,0,0,26,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79202,199.0,111.0,171.0,359.0,60,954,157.0,4,35.0,0,0,55,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
78443,157.0,97.0,179.0,260.0,59,1136,145.0,8,40.0,0,0,53,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79180,172.0,108.0,172.0,335.0,48,5714,166.0,20,38.0,0,0,94,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
78533,232.0,101.0,176.0,278.0,31,815,146.0,5,63.0,0,0,85,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78288,180.0,119.0,179.0,300.0,20,2935,162.0,45,44.0,0,0,43,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
78411,151.0,109.0,174.0,341.0,51,166,168.0,24,31.0,0,0,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78421,180.0,106.0,181.0,327.0,57,630,149.0,7,49.0,0,0,34,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79220,164.0,112.0,175.0,299.0,46,2167,163.0,96,54.0,0,0,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78403,189.0,107.0,173.0,310.0,22,271,147.0,35,48.0,0,0,25,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78342,235.0,93.0,184.0,320.0,61,1137,153.0,27,40.0,16,36,54,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79093,217.0,99.0,175.0,279.0,58,110,149.0,8,38.0,0,0,92,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78607,243.0,97.0,182.0,290.0,23,271,145.0,82,57.0,0,0,64,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
78772,232.0,95.0,181.0,306.0,20,885,150.0,140,56.0,8,13,51,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78781,154.0,99.0,185.0,283.0,23,711,158.0,0,33.0,0,0,31,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78783,203.0,99.0,176.0,298.0,48,366,147.0,38,60.0,0,0,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78364,162.0,98.0,182.0,334.0,40,781,150.0,8,46.0,0,0,84,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78368,201.0,99.0,182.0,314.0,61,969,150.0,45,46.0,0,0,50,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
78428,227.0,100.0,180.0,302.0,64,1122,145.0,158,33.0,0,0,59,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78792,207.0,106.0,179.0,342.0,54,5855,153.0,17,42.0,0,0,70,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78353,205.0,97.0,186.0,290.0,27,329,148.0,79,56.0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
78800,200.0,91.0,177.0,296.0,39,164,149.0,6,55.0,3,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78635,197.0,103.0,178.0,304.0,68,334,148.0,15,46.0,0,0,12,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79234,248.0,99.0,181.0,331.0,58,636,152.0,96,55.0,0,9,39,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78561,143.0,99.0,176.0,316.0,27,3993,146.0,46,54.0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
78691,250.0,97.0,190.382,305.0,49,304,153.0,22,60.0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
78346,196.0,104.0,171.0,290.0,69,1915,142.0,15,49.0,0,15,47,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
78270,175.0,114.0,178.0,318.0,37,141,152.0,19,58.0,8,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78337,197.0,99.0,175.0,316.0,23,1251,155.0,2,45.0,0,0,34,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
78653,216.0,94.0,180.0,244.0,44,242,145.0,54,54.0,0,0,82,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78388,223.0,97.0,177.0,302.0,40,295,147.0,75,50.0,0,0,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
79022,163.0,89.0,178.0,275.0,39,1851,147.0,16,67.0,0,0,30,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
78489,181.0,106.0,186.0,291.0,48,152,148.0,13,36.0,1,2,14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
78608,181.0,94.0,187.0,286.0,29,2992,152.0,5,50.0,1,0,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79203,188.0,94.0,174.0,261.0,43,1768,151.0,20,43.0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78302,219.0,105.0,180.0,312.0,43,1605,148.0,71,36.0,0,0,70,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
